vendor_name,total_payment,projects,avg_cost,avg_risk,dataset_version
Narsinga Srinivas,1964986.0,1,1964986.0,16.87,V1
Mahadev Construction co,1964699.0,2,982349.5,35.885,V1
BHARGAVA RAM ENTERPRISES,1958636.0,4,489659.0,48.37,V1
SAO MANNROW CONSTRUCTIONS PRIVATE LIMITED,1947249.0,1,1947249.0,16.87,V1
K SAJEEVAN,1929300.0,1,1929300.0,16.87,V1
VIGNESHWARAN,1900000.0,1,1900000.0,16.87,V1
TS SEKAR,1899126.0,1,1899126.0,16.87,V1
PARKLANDS SOLAR PRIVATE LIMITED,1899000.0,19,99947.36842105263,54.91,V1
Samona Enterprises,1898368.0,1,1898368.0,16.87,V1
Ms Surya Mssm,1897047.0,1,1897047.0,16.87,V1
shiv shakti construction and order supplier,1895080.0,1,1895080.0,16.87,V1
Shubham Bhure,1892298.0,2,946149.0,33.98,V1
Vstone Infrastructure,1886571.0,2,943285.5,33.98,V1
MS SURENDRA SINGH THEKEDAR,1884581.0,1,1884581.0,16.87,V1
Mr MAHANTA NARZARY,1875000.0,2,937500.0,34.775,V1
Buddha Enterprises,1865906.0,1,1865906.0,16.46,V1
TANYA CONSTRUCTION,1861980.0,11,169270.9090909091,53.47,V1
Balakumar R,1860394.0,1,1860394.0,16.46,V1
AKSHAT BUILDERS,1854247.0,4,463561.75,47.39,V1
guddi devi,1849325.0,3,616441.6666666666,45.01666666666667,V1
RAATH AUTOMOTIVES PVT LTD,1833174.0,1,1833174.0,16.23,V1
Hisana Thasni KV,1818309.0,1,1818309.0,16.36,V1
Rajeev Kumar Trivedi,1800000.0,1,1800000.0,16.36,V1
D K NIRMITHI KENDRA,1800000.0,1,1800000.0,16.36,V1
N RAMALINGAM,1799018.0,1,1799018.0,16.36,V1
Utkasharsha Majoor Sahakaari Sanstha Maryadit,1798633.0,1,1798633.0,16.36,V1
SML ISUZU LTD,1768000.0,1,1768000.0,16.39,V1
SDO OP Division DHBVN Atela Kalan,1756500.0,7,250928.57142857142,44.691428571428574,V1
Masti ram,1744575.0,7,249225.0,47.93,V1
MILIND CHOUDHARY,1730100.0,2,865050.0,34.445,V1
PRAVINDRA KUMAR,1725714.0,4,431428.5,45.05,V1
M Saravanan,1720039.0,1,1720039.0,16.39,V1
TEHADKIYA ENTERPRISES,1717610.0,1,1717610.0,16.39,V1
TIRUPATI cONSTRUCTION,1699052.0,3,566350.6666666666,45.04333333333333,V1
ROSHAN PANDURANG BODKE,1698852.0,2,849426.0,34.605000000000004,V1
MS NS INFRA ENTERPRISES,1697470.0,1,1697470.0,16.39,V1
MS APT CONSTRUCTIONS,1695480.0,1,1695480.0,16.39,V1
Rajendra Engineers,1685215.0,2,842607.5,33.209999999999994,V1
KONICA MINOLTA HEALTHCARE INDIA PVT LTD,1675000.0,1,1675000.0,16.39,V1
EE MPPKVVCL MANDSAUR AE MPPKVVCL RATLAM,1672640.0,1,1672640.0,16.39,V1
R SIVAKUMAR,1671465.0,1,1671465.0,16.39,V1
C S TECHNOLOGIES,1668214.0,8,208526.75,47.93,V1
MOHAMMED RAHEEMUDDIN,1663134.0,5,332626.8,47.83,V1
SAI SHARAN CONSTRUCTION CO,1653180.0,3,551060.0,44.11666666666667,V1
SARITA BEHERA,1624747.0,2,812373.5,34.32,V1
MK INFRATECH,1623947.0,5,324789.4,46.898,V1
ASIR BARAN ROY,1615346.0,1,1615346.0,16.39,V1
New Ramesh Fabrication,1600000.0,1,1600000.0,19.13,V1
SANDHIYA and CO,1600000.0,1,1600000.0,16.39,V1
T SIVACHANDRAN,1599925.0,1,1599925.0,16.39,V1
Raveendhra G,1599822.0,1,1599822.0,16.39,V1
Shri Murugan Associates,1599786.0,2,799893.0,33.61,V1
ASSISTANT ENGINEER LAEO BARACHATTI VIDHAN SABHA,1564494.0,2,782247.0,33.480000000000004,V1
