mp_key,mp_name,state,constituency,projects_analyzed,total_recommended,total_sanctioned,total_expenditure,total_cost_overrun,average_risk_score,max_risk_score,high_risk_projects,critical_projects,anomaly_projects,utilization_pct,risk_category
SHRI SUDHEER GUPTA,Shri Sudheer Gupta,Madhya Pradesh,MANDSOUR,2,550000.0,799246.0,575000.0,75754.0,13.649999999999999,23.99,0,0,1,71.9428060947443,Low
HARENDRA SINGH MALIK,HARENDRA SINGH MALIK,Uttar Pradesh,MUZAFFARNAGAR,2,2687000.0,2185000.0,105478.0,0.0,13.515,20.45,0,0,1,4.827368421052632,Low
GYANESHWAR PATIL,Gyaneshwar Patil,Madhya Pradesh,KHANDWA,3,100000.0,1000000.0,1319136.0,869136.0,13.366666666666667,20.07,0,0,1,131.9136,Low
MITESH RAMESHBHAI BAKABHAI PATEL,Mitesh Rameshbhai Bakabhai Patel,Gujarat,ANAND,2,0.0,548225.0,2504137.0,2155637.0,13.265,21.41,0,0,1,456.77176341830454,Low
JITENDRA KUMAR DOHARE,JITENDRA KUMAR DOHARE,Uttar Pradesh,ETAWAH(SC),2,0.0,537828.0,1037220.0,768720.0,13.260000000000002,21.76,0,0,1,192.85347731988665,Low
PRIYA SAROJ,PRIYA SAROJ,Uttar Pradesh,MACHHLISHAHR(SC),1,3646225.0,41792.0,0.0,0.0,13.2,13.2,0,0,0,0.0,Low
BALASHOWRY VALLABBHANENI,Balashowry Vallabbhaneni,Andhra Pradesh,MACHILIPATNAM,2,1195297.0,880986.0,967831.0,586831.0,13.135,19.21,0,0,1,109.85770488974853,Low
MIDHUN REDDY,Midhun Reddy,Andhra Pradesh,RAJAMPET,1,0.0,500000.0,981744.0,481744.0,13.11,13.11,0,0,1,196.34879999999998,Low
CHHOTELAL,CHHOTELAL,Uttar Pradesh,ROBERTSGANJ(SC),2,1700000.0,432999.0,182650.0,5651.0,13.004999999999999,15.35,0,0,2,42.18254545622507,Low
SHRI GURJEET SINGH AUJLA,Shri Gurjeet Singh Aujla,Punjab,AMRITSAR,1,0.0,700000.0,0.0,0.0,12.89,12.89,0,0,0,0.0,Low
